category,store_name,name,original_price,discount_percent,price,sold,rating,comment_count,category_group,is_sold_well
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè NVY, chất thun lạnh, quần có túi kéo khóa",150000.0,41.0,88500.0,0.0,0.0,0.0,Thời trang - Thấp,0
Áo,tokyo.shop,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING CAO CẤP - TOKYO FASHION,220000.0,40.0,132000.0,107.0,4.6,44.0,Thời trang - Trung+,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,"Bộ đồ ngủ pijama nữ ngắn dễ thương, đồ bộ nữ mặc nhà cộc tay quần đùi",99998.0,44.0,55998.0,90.0,5.0,27.0,Thời trang - Thấp,0
Set bộ đi chơi,Thời trang hottrend 4 mùa HN,"( rẻ ôi la trơi) Sét bộ áo thun ngựa kèm khăn + quần đen suông đi học, đi chơi đều okila",178000.0,44.0,99680.0,68.0,5.0,22.0,Thời trang - Thấp,0
Áo,minmouse01,Quần Áo Nam - Bộ quần Áo Nam in hình L màu Xám,110000.0,33.0,73699.0,684.0,4.9,144.0,Thời trang - Thấp,1
Set bộ đi chơi,ThomThao Shop,Sét quần áo cộc tay hè hình nơ kẹp chất vải cotton mềm mịn cho mẹ và bé siêu mát 10-55kg mã 9,95000.0,20.0,76000.0,186.0,4.9,48.0,Thời trang - Thấp,1
Quần áo trẻ em,Minky Baby Store,"Quần Kaki Cộc Cho Bé, Quần Đùi Cho Bé Trai Và Bé Gái Từ 7-18kg MINKY BABY",138000.0,43.0,78660.0,0.0,0.0,0.0,Thời trang trẻ em - Thấp,0
Tất & Quần tất,Vớ thoải mái,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Đơn Giản Màu Đen Tinh Tế, Mẫu Mới Phổ Biến",46800.0,41.0,27612.0,542.0,5.0,148.0,Thời trang - Thấp,1
Áo liền quần & áo liền quần,SHOP BA MIỀN,[HCM]SET BỘ ĐÙI THỜI TRANG No8 NĂNG ĐỘNG SIÊU XINH,138000.0,64.0,49680.0,92.0,4.9,15.0,Thời trang - Thấp,0
Set bộ đi chơi,Shop Thời Trang Pé Heo,"(PH) Set Đồ Bộ Đồ lam Đi Chùa Áo Tay Lỡ Ống Loa Thiêu Hoa Sen cài Nút Phối Quần Dài Ống Rộng Nữ Tính , Dễ thương , Đẹp Gái",180000.0,17.0,149400.0,5.0,5.0,2.0,Thời trang - Thấp,0
Áo nữ,d3odSmYq.Selection,"Áo Thun Croptop Nữ Tay Ngắn – Phong Cách Năng Động, Trẻ Trung Cho Mùa Hè Nổi Bật! ☀️👚✨",50000.0,37.0,31500.0,2800.0,4.9,1015.0,Thời trang - Thấp,1
Set bộ đi chơi,Shop Thời Trang Pé Heo,"(PH29) Set Bộ Áo Tay Phồng Croptop Đính Nút 2 hàng Phối Chân Váy Nữ Tính , Dễ Thương , Đi Chơi Dạo Phố",145000.0,32.0,98599.0,19.0,5.0,4.0,Thời trang - Thấp,0
Đầm,ShopNimiu,Đầm dáng ngắn mini 2 tầng nàng thơ chất tơ nến mềm mát tay phồng đính nơ check in dễ thương,260000.0,54.0,119599.0,69.0,4.8,23.0,Thời trang - Trung+,0
Áo nữ,YES FASHION,"CÓ 2 MÀU - Bộ Quần Áo thun Nam Nữ Họa Tiết BÒ SỮA độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",39300.0,49.0,20043.0,151.0,4.1,23.0,Thời trang - Thấp,1
Áo liền quần & áo liền quần,STUDIENT SHOP,SÉT ÁO IN HÌNH NHIỀU GẤU KÈM QUẦN KẺ SÉT QUẦN ÁO NỮ HÌNH IN SẮC NÉT BỀN ĐẸP,168000.0,50.0,84000.0,7.0,5.0,1.0,Thời trang - Thấp,0
Quần áo trẻ em,SUKAKIDS,"Combo 10 Quần đùi kate cho bé trai,bé gái,quần mặc nhà ,quần mặc ngủ 6kg-29kg.QL10.SUKAKIDS",15000.0,40.0,9000.0,15.0,5.0,3.0,Thời trang trẻ em - Thấp,0
Set bộ đi chơi,Shop Thời Trang Pé Heo,"(PH234) Set Đồ Bộ Áo Croptop Tay Ngắn Phối Quần Ống Rộng Thun Gân Dài Dễ Thương , Nữ Tính , Xinh Gái",145000.0,25.0,108750.0,97.0,5.0,30.0,Thời trang - Thấp,0
Trang phục văn hóa,Thời Trang Cô Tiên,Đồ lam đi Chùa nữ thời trang sét bộ đi chùa cổ tàu thiêu hoa sen chữ AN nút gài bọc vải,177000.0,21.0,139830.0,840.0,4.9,300.0,Thời trang - Thấp,1
Áo liền quần & áo liền quần,STUDIENT SHOP,SÉT ÁO IN CHỮ CENTER KÈM QUẦN ỐNG RỘNG ( CÓ BÁN LẺ ÁO ) HÌNH IN SẮC NÉT BỀN ĐẸP,190000.0,63.0,70300.0,204.0,4.8,44.0,Thời trang - Thấp,1
Set bộ đi chơi,YOYOSHOP25,Bộ Trung Niên Tay Lỡ Chất Đũi Thêu Hoa Sang Trọng,250000.0,32.0,169999.0,555.0,4.9,209.0,Thời trang - Trung+,1
Quần,Gấu.Store,"Quần short kaki nam co dãn có big size kiểu dáng thời trang nam tính (Nhiều màu, hình thật)",125000.0,37.0,78750.0,36400.0,4.9,6393.0,Thời trang - Thấp,1
Set bộ đi chơi,Shop Thỏ Bunny,"( 2 mẫu, hót trend ) Bộ đồ áo thun trắng in Lợn + quần heo hồng sieuu kutee",100000.0,51.0,49000.0,95.0,4.7,29.0,Thời trang - Thấp,0
Set bộ đi chơi,Ben.storee,Set áo babytee kèm quần suông kẻ siêu hot,69000.0,58.0,28980.0,241.0,2.8,85.0,Thời trang - Thấp,1
Set bộ đi chơi,Ben.storee,Sét  CÚC ÁO  U tay ngắn kèm quần suông cạp chun hotrend đủ 3 màu basic,69000.0,64.0,24840.0,163.0,2.9,53.0,Thời trang - Thấp,1
Set bộ đi chơi,Ben.storee,Sét bộ quần áo LV Kèm cổ xích chất cotton thoáng mát áo form rộng tay lỡ phong cách Hàn Quốc M2584,95000.0,69.0,29450.0,8.0,2.3,3.0,Thời trang - Thấp,0
"Quần, váy",CZXC78.Selection,"Quần Lót Ice Silk Liền Mạch Nữ, Eo Thấp Kích Thước Lớn, Quần Thoáng Khí Nâng Mông Nữ Thể Thao Quần Lót",30400.0,70.0,9120.0,2800.0,4.9,728.0,Thời trang - Thấp,1
Tất & Quần tất,QINGHE SOCKS &GARMENT,Tất Cotton Cổ Cao Nữ Phong Cách Vintage Hàn Quốc Thích Hợp Cho Giày Mary Jane Lolita,13700.0,42.0,7946.0,23800.0,4.9,3975.0,Thời trang - Thấp,1
Tất & Quần tất,QWaOU2.Selection,"5 Cặp Vớ Kiểu Hàn Quốc, Chất Lượng Cao Cho Nữ",37700.0,29.0,26767.0,767.0,5.0,169.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,Đồ bộ nữ pijama chất xốp gân dài tay mặc nhà cao cấp,158000.0,44.0,88480.0,90.0,4.9,31.0,Thời trang - Thấp,0
Đồ ngủ nữ,CHILI đồ ngủ nữ,"Bộ pijama, đồ bộ mặc nhà nữ dáng cộc dễ thương cute",73998.0,35.0,48098.0,240.0,4.9,55.0,Thời trang - Thấp,1
Tất & Quần tất,8ZKTvR.Selection,"Tất trắng tất trắng in hình động vật tất học sinh nữ Nhật Bản dễ thương tất mùa xuân, mùa hè và mùa thu gấu vớ giữa bắp chân",19500.0,56.0,8579.0,3800.0,5.0,868.0,Thời trang - Thấp,1
Set bộ đi chơi,HUỲNH PHẠM SHOP,Sét bộ thời trang dáng quần suông phối cổ áo tim nút to xinh xắn,178000.0,47.0,94340.0,88.0,4.9,21.0,Thời trang - Thấp,0
Đồ ngủ nữ,THIENKIM FASHION,"set đồ bộ nữ thun gân viền bèo, 4 màu, họa tiết quần dễ thương xinh xắn. Phù hợp mọi hoạt động",139000.0,35.0,90350.0,22.0,5.0,2.0,Thời trang - Thấp,0
Set bộ đi chơi,Shop Áo Thun MUN Panda,"(Panda-S) Set Đồ Bộ Lam Áo Cổ Tàu Tay Lỡ Đính 3 Nơ Lớn Hình Thiêu 2 Lớp Phối quần dài Ống rộng Phong Cách Đơn Giản , Có Sức Hút , Siêu hot",180000.0,17.0,149400.0,66.0,4.2,19.0,Thời trang - Thấp,0
Đồ ngủ nữ,Chat Pyjama 1624720964,SÉT BỘ PYJAMA KẺ DÀI BÈO CÚC REN CỰC XINH HOT,199000.0,37.0,125370.0,64.0,4.9,17.0,Thời trang - Thấp,0
Đồ ngủ nữ,WINNY SHOP 1605685735,45-60kg SET BỘ PHI BÓNG IN BÔNG ÁO CỔ YẾM MẪU MỚI SIÊU SEXY,99980.0,53.0,46990.0,45.0,4.9,9.0,Thời trang - Thấp,0
Đồ ngủ nữ,CHILI đồ ngủ nữ,Đồ Bộ Pijama Nữ Mặc Nhà Áo Cộc Quần Đùi Thiết Kế Kẻ Caro Chất Liệu Cotton Xốp Cao Cấp Mềm Mát Mùa Hè,179998.0,47.0,95398.0,57.0,4.8,12.0,Thời trang - Thấp,0
Áo,tokyo.shop,"ĐỒ BỘ THỂ THAO GẤU TRÚC PAN.DA SANG CHẢNH , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP - TOKYO FASHION",140000.0,47.0,74200.0,114.0,4.4,36.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,Bộ ngủ nữ CARY set pijama mặc nhà áo tay dài quần dài hoạt hình capybara cute,107998.0,44.0,60478.0,134.0,4.8,38.0,Thời trang - Thấp,1
Đồ ngủ nữ,Shop-HATHU,Đồ Bộ Đùi Cổ Tròn Tay Cộc Chất Thun Cotton Su mềm 3 size 40-70kg,158000.0,50.0,79000.0,80.0,4.8,23.0,Thời trang - Thấp,0
Set bộ đi chơi,Changtong Fashion,Bộ đồ hai mảnh CHANGTONG kẻ sọc phong cách Hàn Quốc dáng dài tay cổ bẻ nút thời trang mùa xuân 2025,621000.0,47.0,329130.0,0.0,4.9,14.0,Thời trang - Trung+,0
Đồ ngủ nữ,Shop _5 sao,"Đồ bộ tole trung niên, Bộ lanh mặc nhà SHOP5SAO chất lanh nhung cao cấp, quần lửng [CÓ BIGSIZE] (50-80kg)",185000.0,30.0,129499.0,0.0,5.0,1.0,Thời trang - Thấp,0
Set bộ đi chơi,Changtong Fashion,Bộ hai mảnh CHANGTONG áo hoodie và quần dài dáng vừa phong cách Hàn Quốc mùa thu,1095000.0,43.0,624150.0,0.0,4.9,10.0,Thời trang - Trung+,0
