category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,category_group
Đồ ngủ nữ,CHILI đồ ngủ nữ,90000,33,60299,15.0,4.3,"Đồ bộ ngủ hai dây mặc nhà lụa phi mút ngực phối ren ,đồ ngủ sexy 2 dây gợi cảm mềm mát mặc hè quyến rũ",85,Đồ ngủ nữ
Áo,viomisha-1,45800,32,31143,701.0,4.9,"Quần Đùi Nữ Cạp Thấp Không Dấu Vết – Chất Liệu Kháng Khuẩn, Thiết Kế Gợi Cảm, Êm Ái Mềm Mại, Phù Hợp Mọi Hoạt Động",2300,Áo
"Quần, váy",lSvmII46.Selection,84700,52,40656,224.0,4.8,"Quần Lưng Cao Cho Nữ – Quần Dài Cotton & Lanh Co Giãn, Thiết Kế Ống Thẳng Mặc Thường Ngày Thoải Mái",591,Thời trang khác
Đồ ngủ nữ,Tulipdalat_uyen,100000,42,58000,118.0,4.9,[CÓ SIZE 80KG] Đồ ngủ sexy nữ - Đồ ngủ 2 dây ren nude không mút chất phi mịn quyến rũ mã 382,716,Đồ ngủ nữ
Trang phục bé trai,AChoice-KLS2023,48500,58,20370,2150.0,4.8,"Áo thể thao nam vải thun thông hơi lỗ thoáng khí mát lạnh, cổ tròn ngắn tay",6700,Thời trang khác
Set bộ đi chơi,慢肆先生 MANFOUR,577000,78,126939,21.0,4.5,"Bộ Đồ Thể Thao Mùa Hè Ice Silk Rộng Rãi, Quần Short Tay Ngắn, Quần Áo Nam, Chất Liệu Vải Lanh, Quần Áo Thường Ngày, Quần Áo Công Sở, Quần Áo Công Sở",103,Set bộ đi chơi
Đầm,WINNY SHOP 1605685735,79800,50,39900,677.0,4.9,ĐẦM THUN LẠNH CÁNH TIÊN FOM SUÔNG FREESIZE DƯỚI 70KG MỀM MÁT,2500,Thời trang khác
Đầm,d3odSmYq.Selection,81400,49,41514,287.0,4.9,Váy Maxi Nữ Dáng Chữ A Họa Tiết Hoa – Thoải Mái & Thanh Lịch Cho Mọi Vóc Dáng,697,Thời trang khác
Quần áo trẻ em,Sumo_Kid,169000,47,89570,0.0,0.0,Quần Kaki Đùi Cho Bé túi hộp NEW cạp chun mềm mại cho bé trai từ 10 đến 26kg SUMO KIDS,10,Quần áo trẻ em
Đầm,807Txb21-2.Selection,73600,58,30912,89.0,4.8,"Váy Dây Body Lệch Tà Đen, Váy Hai Dây Ôm Hông Sexy, Váy Ngắn Dây Đen Hot Girl, Váy Body Lệch Tà Mùa Hè",228,Thời trang khác
Set bộ đi chơi,Mộc Shop.,89000,53,41830,9.0,4.9,[Freeship] Set bộ đồ nữ áo hai dây dáng xòe kết nơ phối quần đùi thanh lịch.trẻ trung fREESIZE DƯỚI 56KG,54,Set bộ đi chơi
Áo,Xjk9kXtt.Selection,51600,53,24252,729.0,4.9,"Áo thun nam cỡ lớn mùa hè, màu sắc trơn, kiểu dáng Hàn Quốc, ôm sát cơ thể, thời trang, cổ tròn, tay ngắn",2400,Áo
Set bộ đi chơi,MINH THU SHOPPING,139000,50,69500,754.0,4.7,[3 SIZE 42-65KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LỬNG BARLIE THỜI TRANG CHẤT THUN MỀM MỊN CO GIÃN,4300,Set bộ đi chơi
Set bộ đi chơi,Mộc Shop.,130000,54,59799,59.0,4.9,[Bigsize 45-65kg]Set đồ nữ mặc nhà 2 dây dập ly vải lụa hàn mát Không nhăn Quần Có Túi giao giống màu khác hoa văn,186,Set bộ đi chơi
Đồ ngủ nữ,LOREAL STORE,199000,37,125370,26.0,4.6,Bộ Đồ Ngủ Cardigan Chất Lụa Thoáng Mát Thoải Mái và Sang Trọng Phù Hợp Các Mùa Trong Năm,73,Đồ ngủ nữ
