category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Đồ ngủ nữ,CHILI đồ ngủ nữ,251.998 ₫,-48%,131038,(20),4.9,"Đồ Bộ pijama Tay Dài Quần Dài Cổ Tròn bèo Phối Ren Họa Tiết Kẻ Caro chất liệu vải đũi xốp mềm, nhẹ, mát mặc nhà thu đông dễ thương",50 Đã bán,https://www.lazada.vn/products/pdp-i2885476310.html
Áo,tokyo.shop,220.000 ₫,-40%,132000,(44),4.6,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING CAO CẤP - TOKYO FASHION,107 Đã bán,https://www.lazada.vn/products/pdp-i2677474027.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,99.998 ₫,-44%,55998,(27),5,"Bộ đồ ngủ pijama nữ ngắn dễ thương, đồ bộ nữ mặc nhà cộc tay quần đùi",90 Đã bán,https://www.lazada.vn/products/pdp-i2734601252.html
Set bộ đi chơi,CHUYENSI_HOTTREND,94.000 ₫,-48%,48880,(112),4.7,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,369 Đã bán,https://www.lazada.vn/products/pdp-i2633561733.html
Áo,tokyo.shop,170.000 ₫,-52%,81600,(480),4.6,ĐỒ BỘ THỂ NYC95 SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM. CHƠI BÓNG RỔ MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH SANG CHẢNH VIP - TOKYO FASHION,1.8K Đã bán,https://www.lazada.vn/products/pdp-i2210765730.html
Set bộ đi chơi,Thời trang hottrend 4 mùa HN,178.000 ₫,-44%,99680,(22),5,"( rẻ ôi la trơi) Sét bộ áo thun ngựa kèm khăn + quần đen suông đi học, đi chơi đều okila",68 Đã bán,https://www.lazada.vn/products/pdp-i2784677738.html
Áo,minmouse01,110.000 ₫,-33%,73700,(144),4.9,Quần Áo Nam - Bộ quần Áo Nam in hình L màu Xám,684 Đã bán,https://www.lazada.vn/products/pdp-i1952776506.html
Set bộ đi chơi,Pic Poc Store 2018,120.000 ₫,-59%,49200,(63),4.5,Combo 2 bộ mặc nhà thun cotton tay ngắn short Paris cho bạn gái - hàng QC CB2A00066,279 Đã bán,https://www.lazada.vn/products/pdp-i1887926163.html
Set bộ đi chơi,ThomThao Shop,95.000 ₫,-20%,76000,(48),4.9,Sét quần áo cộc tay hè hình nơ kẹp chất vải cotton mềm mịn cho mẹ và bé siêu mát 10-55kg mã 9,186 Đã bán,https://www.lazada.vn/products/pdp-i2664730650.html
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,103.000 ₫,-47%,54590,(558),4.9,[3 size 46-70KG] Đồ bộ LỬNG LỤA BÔNG MÀU MỀM MÁT KHÔNG NHĂN DỄ THƯƠNG thời trang,1.7K Đã bán,https://www.lazada.vn/products/pdp-i1763357428.html
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,146.000 ₫,-47%,77380,(786),4.8,[3 SIZE 45-65KG TÙY CHIỀU CAO] ĐỒ BỘ THUN DÀI PARI SIÊU MỚI TINH HOT THỜI TRANG CHẤT THUN MỀM MỊN CO GIÃN 4 CHIỀU,3.0K Đã bán,https://www.lazada.vn/products/pdp-i783040054.html
Quần áo trẻ em,Minky Baby Store,138.000 ₫,-43%,78660,,,"Quần Kaki Cộc Cho Bé, Quần Đùi Cho Bé Trai Và Bé Gái Từ 7-18kg MINKY BABY",,https://www.lazada.vn/products/pdp-i2130071637.html
